Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Jimmy Nelson","MIL",69.1,0.25714286,0.66209262,0.47021661,0.64444444,0.86010363,0.80422265,0.52617329,22.92111959,"Jimmy Nelson",10547,519076
"Kevin Gausman","BAL",113.1,0.26829268,0.65658747,0.45258842,0.61818182,0.88815789,0.80407701,0.4746284,22.91730368,"Kevin Gausman",14107,592332
"Daniel Hudson","ARI",2.2,0.31818182,0.62962963,0.48979592,0.85714286,0.82352941,0.83333333,0.55102041,22.88235294,"Daniel Hudson",7146,543339
"Sonny Gray","OAK",219,0.28017241,0.58795181,0.43574909,0.57802198,0.89856557,0.7966457,0.50548112,22.87931034,"Sonny Gray",12768,543243
"Brett Oberholtzer","HOU",143.2,0.28528529,0.6192,0.47087594,0.63859649,0.91085271,0.83758263,0.55580258,22.87656766,"Brett Oberholtzer",3855,519085
"Julio Teheran","ATL",221,0.2896954,0.68126095,0.49570025,0.60850112,0.84318766,0.77819083,0.52610565,22.87655417,"Julio Teheran",6797,527054
"Justin Verlander","DET",206,0.28494943,0.65525247,0.47238543,0.69311065,0.86625332,0.81467662,0.50616921,22.86757426,"Justin Verlander",8700,434378
"Brandon Workman","BOS",87,0.25457317,0.61818182,0.45091164,0.66467066,0.8907563,0.83203733,0.53997195,22.8649174,"Brandon Workman",11428,519443
"Homer Bailey","CIN",145.2,0.31463628,0.63386525,0.47333627,0.61281337,0.84195804,0.76536313,0.4971353,22.8552795,"Homer Bailey",8362,456701
"Jarred Cosart","- - -",180.1,0.24175824,0.5959596,0.42060524,0.6875,0.90621469,0.84397736,0.5049303,22.85295554,"Jarred Cosart",10304,543054
"Jim Miller","NYY",2.2,0.17241379,0.79411765,0.50793651,0.6,0.96296296,0.90625,0.53968254,22.84444444,"Jim Miller",7458,461848
"Eddie Butler","COL",16,0.23809524,0.7109375,0.47637795,0.9,0.9010989,0.90082645,0.50393701,22.83636364,"Eddie Butler",13453,572750
"Kyle Crockett","CLE",30,0.28571429,0.57518797,0.44285714,0.5625,0.90196078,0.80184332,0.54285714,22.83611111,"Kyle Crockett",15033,641490
