Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Robert Poinsette","- - -",0,0,0,3,1,4.2,1.9285988860244192,9.642994430122096,,,,,,,15.428791088195354,,,,-0.47603338956832886,"Robert Poinsette",1016160,
"Harry Fisher","PIT",1,2,0,8,3,18.1,2.4545499659849757,6.381829911560937,1.9636399727879805,0.22033898305084745,0.68181818,,,,6.872739904757932,,7.136213389641266,,-0.47632598876953125,"Harry Fisher",1004089,114171
"Takahito Nomura","MIL",0,0,0,21,0,13.2,5.9268299575933545,11.853659915186709,1.3170733239096344,0.225,0.60283688,0.357142857,0.095238095,,8.560976605412623,,7.93768480528975,8.174326924187667,-0.476735919713974,"Takahito Nomura",699,408110
"Luis Frías","- - -",2,2,0,58,0,61,8.114756001352717,6.7868868374949995,0.8852461092384782,0.3617021276595745,0.62827225,0.407216494,0.086956521,96.42502634148849,7.377050910320651,5.849929856714766,5.081863775445334,5.596075917118346,-0.477662842720747,"Luis Frias",21997,666818
"Ethan Roberts","CHC",2,2,0,40,0,43.1,8.515385427475053,3.738461894989048,1.869230947494524,0.3387096774193548,0.80808081,0.300751879,0.152542372,93.73565266927083,4.9846158599853965,5.421097053158826,5.411946185914318,4.775098179131977,-0.47793740034103394,"Ethan Roberts",24930,681799
"William Pierson","PHA",0,1,0,11,2,32,2.81249119902921,8.718722716990552,0,0.32653061224489793,0.78461538,,,,3.3749894388350525,,4.836213376571415,,-0.4782504066824913,"William Pierson",1010341,120571
"Chance Adams","- - -",1,2,1,22,1,41.2,7.12800076135262,3.240000346069373,2.376000253784207,0.3722627737226277,0.59748428,0.317567567,0.183333333,92.01287028855047,8.424000899780369,6.889812907994786,6.271452714692914,5.594314623520251,-0.48003575950860977,"Chance Adams",18135,664856
"Mike Smith","BAL",2,0,0,15,1,23,5.478263595380499,5.869568137907677,1.9565227126358924,0.3116883116883117,0.56756757,,,,8.217395393070749,,6.333815272127867,,-0.48093096166849136,"Mike Smith",1012183,122435
"C.J. Fick","- - -",0,1,0,20,0,24.2,6.202703342200959,6.567568244683368,1.4594596099296373,0.30666666666666664,0.79710145,0.453333333,0.181818181,90.5556411743164,4.378378829788912,,6.256614583212619,5.458027273487097,-0.481044783256948,"C.J. Fick",7978,518674
"Orlando Asbury","NLG",0,1,0,2,1,12.1,2.1891951703944867,3.6486586173241444,,,,,,,9.486512405042776,,,,-0.4810639023780823,"Orlando Asbury",1014526,
"Ed Keegan","- - -",0,3,1,13,3,23,4.304347826086956,9,1.173913043478261,0.34146341463414637,0.5984556,,,,9,,6.576899729604307,,-0.4820249266922474,"Ed Keegan",1006745,116889
"Charlie Eckert","PHA",0,3,0,25,1,71.2,2.7627894170384337,3.390696102728987,1.004650697104885,0.30708661417322836,0.6743738,,,,4.520928136971983,,5.0258865764834155,,-0.48272847570478916,"Charlie Eckert",1003659,113728
"Alex Carrillo","NYM",0,1,0,3,0,4.2,7.714286765273879,3.8571433826369397,7.714286765273879,0.18181818181818182,0.58823529,0.133333333,0.363636363,97.79629603794643,13.50000183922929,16.848771382601008,14.492280722637776,6.9835223702377665,-0.4834936261177063,"Alex Carrillo",26463,692024
